FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.3,10.0.0.5,13,13,0,0,854363,0.00723921
2,10.0.0.5,10.0.0.3,7,7,0,0,66256.8,0.00541066
3,10.0.0.3,10.0.0.7,12,12,0,0,763102,0.0114962
4,10.0.0.7,10.0.0.3,6,6,0,0,63296.4,0.00522342
5,10.0.0.18,10.0.0.7,12,12,0,0,764137,0.00837077
6,10.0.0.7,10.0.0.18,6,6,0,0,58776.5,0.0103182
7,10.0.0.17,10.0.0.6,12,12,0,0,764790,0.00735928
8,10.0.0.6,10.0.0.17,6,6,0,0,57447.1,0.00926393
9,10.0.0.3,10.0.0.11,13,13,0,0,855747,0.00956965
10,10.0.0.11,10.0.0.3,7,7,0,0,70131.6,0.00447215
11,10.0.0.12,10.0.0.8,12,12,0,0,763944,0.0104808
12,10.0.0.8,10.0.0.12,6,6,0,0,61660.8,0.00823752
13,10.0.0.12,10.0.0.1,12,12,0,0,763693,0.0124127
14,10.0.0.1,10.0.0.12,6,6,0,0,64834.4,0.00430457
15,10.0.0.14,10.0.0.7,13,13,0,0,854647,0.0117068
16,10.0.0.7,10.0.0.14,7,7,0,0,73756.5,0.0024014
17,10.0.0.11,10.0.0.4,13,13,0,0,854469,0.0037438
18,10.0.0.4,10.0.0.11,7,7,0,0,61337.3,0.00838632
19,10.0.0.19,10.0.0.14,14,14,0,0,945195,0.00798218
20,10.0.0.14,10.0.0.19,7,7,0,0,67069.4,0.0016006
21,10.0.0.5,10.0.0.15,13,13,0,0,855405,0.00865667
22,10.0.0.15,10.0.0.5,7,7,0,0,68610.6,0.00549045
23,10.0.0.3,10.0.0.17,12,12,0,0,763578,0.0126005
24,10.0.0.17,10.0.0.3,6,6,0,0,65043.3,0.00421484
25,10.0.0.3,10.0.0.1,11,11,0,0,673289,0.0122147
26,10.0.0.1,10.0.0.3,6,6,0,0,64825.3,0.00966146
27,10.0.0.15,10.0.0.7,14,14,0,0,947480,0.00784223
28,10.0.0.7,10.0.0.15,7,7,0,0,67079.2,0.00168248
29,10.0.0.3,10.0.0.2,14,14,0,0,946208,0.00482909
30,10.0.0.2,10.0.0.3,7,7,0,0,62657.9,0.00550043
31,10.0.0.19,10.0.0.17,13,13,0,0,854238,0.00864061
32,10.0.0.17,10.0.0.19,7,7,0,0,68375.7,0.00543445
