time_s,nodeId,x,y,z
1,0,12.467,-1.813,-0.695
1,1,-18.254,-19.048,-1.382
1,2,55.742,-147.696,-10.627
1,3,16.625,-131.974,-2.72
1,4,19.494,-31.358,-11.452
1,5,36.957,-151.503,-12.371
1,6,4.539,-171.141,-0.898
1,7,-20.268,-7.917,-9.316
1,8,30.515,-148.349,5.874
1,9,32.978,-7.746,-13.033
1,10,13.598,-136.521,2.174
1,11,-8.433,-27.011,-13.655
1,12,-23.646,-23.353,-1.3
1,13,12.037,-165.907,1.935
1,14,6.448,-119.872,0.059
1,15,-12.485,-44.963,0.594
1,16,25.793,-106.735,-13.551
1,17,4.795,-87.453,4.073
1,18,-3.49,-170.254,-7.998
1,19,35.938,-12.844,1.706
2,0,24.239,-4.135,-1.459
2,1,-3.69,-22.192,-0.471
2,2,65.414,-148.927,-10.227
2,3,28.421,-132.523,-3.273
2,4,31.56,-31.55,-11.981
2,5,49.21,-148.246,-11.517
2,6,17.452,-171.943,-0.938
2,7,-6.3,-9.484,-9.285
2,8,42.724,-146.139,6.281
2,9,42.466,-10.42,-13.365
2,10,24.898,-138.125,2.306
2,11,5.999,-24.844,-14.054
2,12,-9.758,-24.447,-1.959
2,13,24.494,-166.222,1.2
2,14,19.176,-119.113,-0.107
2,15,0.991,-42.301,0.533
2,16,34.865,-110.03,-12.799
2,17,16.659,-87.674,4.175
2,18,7.949,-166.915,-7.429
2,19,45.233,-10.69,1.649
3,0,34.915,-7.052,-2.259
3,1,10.805,-23.716,0.438
3,2,74.39,-148.591,-9.577
3,3,39.253,-134.604,-3.957
3,4,42.161,-30.572,-12.309
3,5,61.796,-146.033,-10.758
3,6,30.605,-171.987,-0.947
3,7,7.572,-10.226,-9.255
3,8,55.093,-144.025,6.78
3,9,51.945,-12.873,-13.472
3,10,37.048,-139.334,2.423
3,11,20.278,-24.172,-14.548
3,12,3.811,-21.917,-2.716
3,13,37.977,-165.04,0.706
3,14,31.877,-117.923,-0.199
3,15,14.044,-43.297,0.255
3,16,45.748,-112.281,-12.121
3,17,28.954,-89.641,4.083
3,18,20.17,-162.312,-6.924
3,19,55.112,-9.094,1.601
4,0,47.646,-9.074,-3.003
4,1,25.235,-26.266,1.257
4,2,82.879,-148.752,-9.044
4,3,50.257,-134.68,-4.745
4,4,52.576,-32.213,-12.467
4,5,73.269,-144.106,-10.069
4,6,43.648,-171.911,-1.159
4,7,21.328,-11.683,-9.402
4,8,67.901,-141.531,7.055
4,9,61.354,-15.071,-13.662
4,10,47.2,-139.912,2.515
4,11,35.157,-24.927,-15.006
4,12,18.422,-22.526,-3.305
4,13,51.078,-161.659,0.275
4,14,44.255,-116.844,-0.224
4,15,28.056,-42.172,-0.069
4,16,56.544,-116.059,-11.3
4,17,40.475,-89.338,3.734
4,18,33.37,-159.996,-6.557
4,19,64.525,-9.445,1.47
5,0,57.885,-12.161,-3.647
5,1,40.414,-28.988,2.189
5,2,90.367,-149.071,-8.288
5,3,61.941,-135.829,-5.468
5,4,64.112,-32.743,-12.654
5,5,84.222,-140.782,-9.173
5,6,56.235,-171.313,-1.26
5,7,36.204,-12.903,-9.381
5,8,79.072,-138.367,7.49
5,9,70.347,-18.009,-13.87
5,10,59.382,-142.356,2.653
5,11,50.083,-23.425,-15.379
5,12,32.405,-22.126,-4.017
5,13,64.283,-160.255,-0.413
5,14,57.449,-116.192,-0.308
5,15,42.215,-41.498,-0.464
5,16,68.136,-117.584,-10.569
5,17,52.49,-90.863,3.36
5,18,46.306,-153.811,-6.031
5,19,73.485,-9.016,1.286
6,0,68.572,-14.821,-4.091
6,1,54.402,-30.754,3.012
6,2,98.776,-147.794,-7.617
6,3,73.379,-137.361,-6.249
6,4,74.296,-34.02,-12.574
6,5,94.865,-138.744,-8.546
6,6,69.418,-169.287,-1.356
