time_s,nodeId,eventType
2.006,4,Tx Ack
2.010,2,Rx Ack
2.010,2,Tx Ack
2.010,4,Rx Ack
2.014,2,Tx Data
2.015,4,Rx Data
2.015,4,Tx Ack
2.015,2,Rx Ack
2.018,2,Tx Data
2.019,4,Rx Data
2.023,2,Tx Data
2.023,4,Rx Data
2.023,4,Tx Ack
2.023,2,Rx Ack
2.027,2,Tx Data
2.027,4,Rx Data
2.031,2,Tx Data
2.031,4,Rx Data
2.031,4,Tx Ack
2.031,2,Rx Ack
2.035,2,Tx Data
2.035,4,Rx Data
2.039,2,Tx Data
2.039,4,Rx Data
2.039,4,Tx Ack
2.039,2,Rx Ack
2.043,2,Tx Data
2.043,4,Rx Data
2.047,2,Tx Data
2.047,4,Rx Data
2.047,4,Tx Ack
2.047,2,Rx Ack
2.050,2,Tx Ack
2.050,4,Rx Ack
2.050,4,Tx Ack
2.050,2,Rx Ack
2.050,2,Tx Ack
2.051,4,Rx Ack
2.410,6,Tx Ack
2.415,2,Rx Ack
2.415,2,Tx Ack
2.415,6,Rx Ack
2.419,2,Tx Data
2.419,6,Rx Data
2.419,6,Tx Ack
2.419,2,Rx Ack
2.423,2,Tx Data
2.423,6,Rx Data
2.427,2,Tx Data
2.427,6,Rx Data
2.427,6,Tx Ack
2.427,2,Rx Ack
2.431,2,Tx Data
2.431,6,Rx Data
2.435,2,Tx Data
2.435,6,Rx Data
2.435,6,Tx Ack
2.436,2,Rx Ack
2.439,2,Tx Data
2.439,6,Rx Data
2.443,2,Tx Data
2.444,6,Rx Data
2.444,6,Tx Ack
2.444,2,Rx Ack
2.447,2,Tx Data
2.448,6,Rx Data
2.450,2,Tx Ack
2.450,6,Rx Ack
2.450,6,Tx Ack
2.450,2,Rx Ack
2.450,2,Tx Ack
2.451,6,Rx Ack
2.607,6,Tx Ack
2.617,17,Rx Ack
2.617,17,Tx Ack
2.617,6,Rx Ack
2.621,17,Tx Data
2.621,6,Rx Data
2.621,6,Tx Ack
2.621,17,Rx Ack
2.625,17,Tx Data
2.625,6,Rx Data
2.629,17,Tx Data
2.629,6,Rx Data
2.629,6,Tx Ack
2.629,17,Rx Ack
2.633,17,Tx Data
2.633,6,Rx Data
2.637,17,Tx Data
2.637,6,Rx Data
2.637,6,Tx Ack
2.638,17,Rx Ack
2.641,17,Tx Data
2.641,6,Rx Data
2.645,17,Tx Data
2.646,6,Rx Data
2.646,6,Tx Ack
2.646,17,Rx Ack
2.649,17,Tx Data
2.650,6,Rx Data
2.650,17,Tx Ack
2.650,6,Rx Ack
2.650,6,Tx Ack
2.650,17,Rx Ack
2.650,17,Tx Ack
2.650,6,Rx Ack
3.406,5,Tx Ack
3.415,16,Rx Ack
3.415,16,Tx Ack
3.415,5,Rx Ack
3.419,16,Tx Data
3.419,5,Rx Data
3.419,5,Tx Ack
3.419,16,Rx Ack
3.423,16,Tx Data
3.423,5,Rx Data
3.427,16,Tx Data
3.427,5,Rx Data
3.427,5,Tx Ack
3.427,16,Rx Ack
3.431,16,Tx Data
3.431,5,Rx Data
3.435,16,Tx Data
3.435,5,Rx Data
3.435,5,Tx Ack
3.436,16,Rx Ack
3.439,16,Tx Data
3.439,5,Rx Data
3.443,16,Tx Data
3.444,5,Rx Data
3.444,5,Tx Ack
3.444,16,Rx Ack
3.447,16,Tx Data
3.448,5,Rx Data
3.450,16,Tx Ack
3.450,5,Rx Ack
3.450,5,Tx Ack
3.450,16,Rx Ack
3.450,16,Tx Ack
3.450,5,Rx Ack
4.008,10,Tx Ack
4.012,2,Rx Ack
4.012,2,Tx Ack
4.012,10,Rx Ack
4.016,2,Tx Data
4.016,10,Rx Data
4.016,10,Tx Ack
4.016,2,Rx Ack
4.020,2,Tx Data
4.020,10,Rx Data
4.024,2,Tx Data
4.024,10,Rx Data
4.024,10,Tx Ack
4.024,2,Rx Ack
4.028,2,Tx Data
4.028,10,Rx Data
4.032,2,Tx Data
4.032,10,Rx Data
4.032,10,Tx Ack
4.033,2,Rx Ack
4.036,2,Tx Data
4.037,10,Rx Data
4.040,2,Tx Data
4.041,10,Rx Data
4.041,10,Tx Ack
4.041,2,Rx Ack
4.044,2,Tx Data
4.045,10,Rx Data
4.049,2,Tx Data
4.049,10,Rx Data
4.049,10,Tx Ack
4.049,2,Rx Ack
4.050,2,Tx Ack
4.050,10,Rx Ack
4.050,10,Tx Ack
4.050,2,Rx Ack
4.050,2,Tx Ack
4.050,10,Rx Ack
4.209,7,Tx Ack
4.217,11,Rx Ack
4.217,11,Tx Ack
4.217,7,Rx Ack
4.221,11,Tx Data
4.221,7,Rx Data
4.221,7,Tx Ack
4.221,11,Rx Ack
4.225,11,Tx Data
4.225,7,Rx Data
4.229,11,Tx Data
4.229,7,Rx Data
4.229,7,Tx Ack
4.229,11,Rx Ack
4.233,11,Tx Data
4.233,7,Rx Data
4.237,11,Tx Data
4.237,7,Rx Data
4.237,7,Tx Ack
4.238,11,Rx Ack
4.241,11,Tx Data
4.241,7,Rx Data
4.245,11,Tx Data
4.246,7,Rx Data
4.246,7,Tx Ack
4.246,11,Rx Ack
4.249,11,Tx Data
4.250,7,Rx Data
4.250,11,Tx Ack
4.250,7,Rx Ack
4.250,7,Tx Ack
4.250,11,Rx Ack
4.250,11,Tx Ack
4.250,7,Rx Ack
4.411,0,Tx Ack
4.415,11,Rx Ack
4.415,11,Tx Ack
4.415,0,Rx Ack
4.419,11,Tx Data
4.419,0,Rx Data
4.419,0,Tx Ack
4.419,11,Rx Ack
4.423,11,Tx Data
4.423,0,Rx Data
4.427,11,Tx Data
4.427,0,Rx Data
4.427,0,Tx Ack
4.427,11,Rx Ack
4.431,11,Tx Data
4.431,0,Rx Data
4.435,11,Tx Data
4.435,0,Rx Data
4.435,0,Tx Ack
4.436,11,Rx Ack
4.439,11,Tx Data
4.440,0,Rx Data
4.443,11,Tx Data
4.444,0,Rx Data
4.444,0,Tx Ack
4.444,11,Rx Ack
4.447,11,Tx Data
4.448,0,Rx Data
4.450,11,Tx Ack
4.450,0,Rx Ack
4.450,0,Tx Ack
4.450,11,Rx Ack
4.450,11,Tx Ack
4.450,0,Rx Ack
4.610,6,Tx Ack
4.612,13,Rx Ack
4.612,13,Tx Ack
4.612,6,Rx Ack
4.616,13,Tx Data
4.616,6,Rx Data
4.616,6,Tx Ack
4.616,13,Rx Ack
4.620,13,Tx Data
4.620,6,Rx Data
4.624,13,Tx Data
4.624,6,Rx Data
4.624,6,Tx Ack
4.624,13,Rx Ack
4.628,13,Tx Data
4.628,6,Rx Data
4.632,13,Tx Data
4.632,6,Rx Data
4.632,6,Tx Ack
4.633,13,Rx Ack
4.636,13,Tx Data
4.637,6,Rx Data
4.640,13,Tx Data
4.641,6,Rx Data
4.641,6,Tx Ack
4.641,13,Rx Ack
4.644,13,Tx Data
4.645,6,Rx Data
4.649,13,Tx Data
4.649,6,Rx Data
4.649,6,Tx Ack
4.649,13,Rx Ack
4.650,13,Tx Ack
4.650,6,Rx Ack
4.650,6,Tx Ack
4.650,13,Rx Ack
4.650,13,Tx Ack
4.650,6,Rx Ack
5.002,3,Tx Ack
5.010,10,Rx Ack
5.010,10,Tx Ack
5.010,3,Rx Ack
5.014,10,Tx Data
5.014,3,Rx Data
5.014,3,Tx Ack
5.014,10,Rx Ack
5.018,10,Tx Data
5.018,3,Rx Data
5.022,10,Tx Data
5.022,3,Rx Data
5.022,3,Tx Ack
5.022,10,Rx Ack
5.026,10,Tx Data
5.026,3,Rx Data
5.030,10,Tx Data
5.030,3,Rx Data
5.030,3,Tx Ack
5.030,10,Rx Ack
5.034,10,Tx Data
5.034,3,Rx Data
5.038,10,Tx Data
5.039,3,Rx Data
5.039,3,Tx Ack
5.039,10,Rx Ack
5.042,10,Tx Data
5.043,3,Rx Data
5.046,10,Tx Data
5.047,3,Rx Data
5.047,3,Tx Ack
5.047,10,Rx Ack
5.050,10,Tx Ack
5.050,3,Rx Ack
5.050,3,Tx Ack
5.050,10,Rx Ack
5.050,10,Tx Ack
5.051,3,Rx Ack
5.406,13,Tx Ack
5.407,18,Rx Ack
5.407,18,Tx Ack
5.407,13,Rx Ack
5.411,18,Tx Data
5.411,13,Rx Data
5.411,13,Tx Ack
5.411,18,Rx Ack
5.415,18,Tx Data
5.415,13,Rx Data
5.419,18,Tx Data
5.419,13,Rx Data
5.419,13,Tx Ack
5.420,18,Rx Ack
5.423,18,Tx Data
5.424,13,Rx Data
5.427,18,Tx Data
5.428,13,Rx Data
5.428,13,Tx Ack
5.428,18,Rx Ack
5.432,18,Tx Data
5.432,13,Rx Data
5.436,18,Tx Data
5.436,13,Rx Data
5.436,13,Tx Ack
5.436,18,Rx Ack
5.440,18,Tx Data
5.440,13,Rx Data
5.444,18,Tx Data
5.444,13,Rx Data
5.444,13,Tx Ack
5.444,18,Rx Ack
5.448,18,Tx Data
5.448,13,Rx Data
5.450,18,Tx Ack
5.450,13,Rx Ack
5.450,13,Tx Ack
5.450,18,Rx Ack
5.450,18,Tx Ack
5.451,13,Rx Ack
6.207,14,Tx Ack
6.212,4,Rx Ack
6.212,4,Tx Ack
6.212,14,Rx Ack
6.216,4,Tx Data
6.216,14,Rx Data
6.216,14,Tx Ack
6.216,4,Rx Ack
6.220,4,Tx Data
6.220,14,Rx Data
6.224,4,Tx Data
6.224,14,Rx Data
6.224,14,Tx Ack
6.224,4,Rx Ack
6.228,4,Tx Data
6.228,14,Rx Data
6.232,4,Tx Data
6.232,14,Rx Data
6.232,14,Tx Ack
6.233,4,Rx Ack
6.236,4,Tx Data
6.237,14,Rx Data
6.240,4,Tx Data
6.241,14,Rx Data
6.241,14,Tx Ack
6.241,4,Rx Ack
6.245,4,Tx Data
6.245,14,Rx Data
6.249,4,Tx Data
6.249,14,Rx Data
6.249,14,Tx Ack
6.249,4,Rx Ack
6.250,4,Tx Ack
6.250,14,Rx Ack
6.250,14,Tx Ack
6.250,4,Rx Ack
6.250,4,Tx Ack
6.250,14,Rx Ack
7.011,16,Tx Ack
7.015,2,Rx Ack
7.015,2,Tx Ack
7.015,16,Rx Ack
7.019,2,Tx Data
7.019,16,Rx Data
7.019,16,Tx Ack
7.019,2,Rx Ack
7.023,2,Tx Data
7.023,16,Rx Data
7.027,2,Tx Data
7.027,16,Rx Data
7.027,16,Tx Ack
7.027,2,Rx Ack
7.031,2,Tx Data
7.031,16,Rx Data
7.035,2,Tx Data
7.035,16,Rx Data
7.035,16,Tx Ack
7.036,2,Rx Ack
7.039,2,Tx Data
7.040,16,Rx Data
7.043,2,Tx Data
7.044,16,Rx Data
7.044,16,Tx Ack
7.044,2,Rx Ack
7.048,2,Tx Data
7.048,16,Rx Data
7.050,2,Tx Ack
7.050,16,Rx Ack
7.050,16,Tx Ack
7.050,2,Rx Ack
7.050,2,Tx Ack
7.050,16,Rx Ack
8.011,0,Tx Ack
8.020,2,Rx Ack
8.020,2,Tx Ack
8.020,0,Rx Ack
8.024,2,Tx Data
8.024,0,Rx Data
8.024,0,Tx Ack
8.025,2,Rx Ack
8.028,2,Tx Data
8.028,0,Rx Data
8.032,2,Tx Data
8.032,0,Rx Data
8.032,0,Tx Ack
8.032,2,Rx Ack
8.036,2,Tx Data
8.036,0,Rx Data
8.040,2,Tx Data
8.040,0,Rx Data
8.040,0,Tx Ack
8.040,2,Rx Ack
8.044,2,Tx Data
8.044,0,Rx Data
8.048,2,Tx Data
8.049,0,Rx Data
8.049,0,Tx Ack
8.049,2,Rx Ack
8.050,2,Tx Ack
8.050,0,Rx Ack
8.050,0,Tx Ack
8.050,2,Rx Ack
8.050,2,Tx Ack
8.050,0,Rx Ack
8.206,6,Tx Ack
8.207,14,Rx Ack
8.207,14,Tx Ack
8.207,6,Rx Ack
8.211,14,Tx Data
8.211,6,Rx Data
8.211,6,Tx Ack
8.212,14,Rx Ack
8.215,14,Tx Data
8.215,6,Rx Data
8.219,14,Tx Data
8.220,6,Rx Data
8.220,6,Tx Ack
8.220,14,Rx Ack
8.223,14,Tx Data
8.224,6,Rx Data
8.228,14,Tx Data
8.228,6,Rx Data
8.228,6,Tx Ack
8.228,14,Rx Ack
8.232,14,Tx Data
8.232,6,Rx Data
8.236,14,Tx Data
8.236,6,Rx Data
8.236,6,Tx Ack
8.236,14,Rx Ack
8.240,14,Tx Data
8.240,6,Rx Data
8.244,14,Tx Data
8.244,6,Rx Data
8.244,6,Tx Ack
8.244,14,Rx Ack
8.248,14,Tx Data
8.248,6,Rx Data
8.250,14,Tx Ack
8.250,6,Rx Ack
8.250,6,Tx Ack
8.250,14,Rx Ack
8.250,14,Tx Ack
8.250,6,Rx Ack
8.403,1,Tx Ack
8.408,2,Rx Ack
8.408,2,Tx Ack
8.408,1,Rx Ack
8.412,2,Tx Data
8.412,1,Rx Data
8.412,1,Tx Ack
8.412,2,Rx Ack
8.416,2,Tx Data
8.416,1,Rx Data
8.420,2,Tx Data
8.420,1,Rx Data
8.420,1,Tx Ack
8.420,2,Rx Ack
8.424,2,Tx Data
8.424,1,Rx Data
8.428,2,Tx Data
8.428,1,Rx Data
8.428,1,Tx Ack
8.429,2,Rx Ack
8.432,2,Tx Data
8.433,1,Rx Data
8.436,2,Tx Data
8.437,1,Rx Data
8.437,1,Tx Ack
8.437,2,Rx Ack
8.441,2,Tx Data
8.441,1,Rx Data
8.445,2,Tx Data
8.445,1,Rx Data
8.445,1,Tx Ack
8.445,2,Rx Ack
8.449,2,Tx Data
8.449,1,Rx Data
8.450,2,Tx Ack
8.450,1,Rx Ack
8.450,1,Tx Ack
8.450,2,Rx Ack
8.450,2,Tx Ack
8.450,1,Rx Ack
9.607,16,Tx Ack
9.612,18,Rx Ack
9.612,18,Tx Ack
9.612,16,Rx Ack
9.616,18,Tx Data
9.616,16,Rx Data
9.616,16,Tx Ack
9.616,18,Rx Ack
9.620,18,Tx Data
9.620,16,Rx Data
9.624,18,Tx Data
9.624,16,Rx Data
9.624,16,Tx Ack
9.624,18,Rx Ack
9.628,18,Tx Data
9.628,16,Rx Data
9.632,18,Tx Data
9.632,16,Rx Data
9.632,16,Tx Ack
9.632,18,Rx Ack
9.636,18,Tx Data
9.636,16,Rx Data
9.640,18,Tx Data
9.640,16,Rx Data
9.640,16,Tx Ack
9.641,18,Rx Ack
9.644,18,Tx Data
9.645,16,Rx Data
9.648,18,Tx Data
9.649,16,Rx Data
9.649,16,Tx Ack
9.649,18,Rx Ack
9.650,18,Tx Ack
9.650,16,Rx Ack
9.650,16,Tx Ack
9.650,18,Rx Ack
9.650,18,Tx Ack
9.651,16,Rx Ack
10.006,1,Tx Ack
10.014,14,Rx Ack
10.014,14,Tx Ack
10.014,1,Rx Ack
10.018,14,Tx Data
10.018,1,Rx Data
10.018,1,Tx Ack
10.018,14,Rx Ack
10.022,14,Tx Data
10.022,1,Rx Data
10.026,14,Tx Data
10.026,1,Rx Data
10.026,1,Tx Ack
10.026,14,Rx Ack
10.030,14,Tx Data
10.030,1,Rx Data
10.034,14,Tx Data
10.034,1,Rx Data
10.034,1,Tx Ack
10.035,14,Rx Ack
10.038,14,Tx Data
10.038,1,Rx Data
10.042,14,Tx Data
10.043,1,Rx Data
10.043,1,Tx Ack
10.043,14,Rx Ack
10.046,14,Tx Data
10.047,1,Rx Data
10.050,14,Tx Ack
10.050,1,Rx Ack
10.050,1,Tx Ack
10.050,14,Rx Ack
10.050,14,Tx Ack
10.051,1,Rx Ack
10.405,4,Tx Ack
10.410,0,Rx Ack
10.410,0,Tx Ack
10.410,4,Rx Ack
10.414,0,Tx Data
10.414,4,Rx Data
10.414,4,Tx Ack
10.414,0,Rx Ack
10.418,0,Tx Data
10.418,4,Rx Data
10.422,0,Tx Data
10.422,4,Rx Data
10.422,4,Tx Ack
10.422,0,Rx Ack
10.426,0,Tx Data
10.426,4,Rx Data
10.430,0,Tx Data
10.430,4,Rx Data
10.430,4,Tx Ack
10.431,0,Rx Ack
10.434,0,Tx Data
10.435,4,Rx Data
10.438,0,Tx Data
